"records__id","records__createdTime","records__fields__Fundraising Round","records__fields__Date","records__fields__Amount","records__fields__Announcement ","records__fields__Stage","records__fields__Investors__001","records__fields__Investors__002","records__fields__Investors__003","records__fields__Investors__004","records__fields__Investors__005","records__fields__Investors__006","records__fields__Investors__007","records__fields__Investors__008","records__fields__Investors__009","records__fields__Investors__010","records__fields__Investors__011","records__fields__Investors__012","records__fields__Investors__013","records__fields__Investors__014","records__fields__Investors__015","records__fields__Company__-","records__fields__Type (Stage)","records__fields__Source__label","records__fields__Source__url","records__fields__Category__-","records__fields__Sector__-","records__fields__Sector (from Company)__-","records__fields__Category (from Company)__-","offset"
"recFZsJK99c86r5Fe","2025-03-13T21:56:08.000Z","Reveal – Series A","2024-12-11","11200000","https://techcrunch.com/2024/12/11/reveal-technology-raises-11m-to-scale-decision-dominance-tools-for-dod/","Early Stage Venture","recarerBvecCESA60","reco5sHDdrjlgkDpA","reccTnWWnqOapE9LG","","","","","","","","","","","","","receMptpaVANM8svL","Series A","↗","https://techcrunch.com/2024/12/11/reveal-technology-raises-11m-to-scale-decision-dominance-tools-for-dod/","recuShUrIV9xrXGLE","recEot4SDR5eKe31b","recEot4SDR5eKe31b","recuShUrIV9xrXGLE",""
"recFcno13Ffr5mzNr","2025-04-04T18:31:56.000Z","Portal Space Systems – Seed","2025-04-01","17500000","https://www.portalsystems.space/portal-space-systems-raises-17-5m-in-oversubscribed-seed-round-to-build-multi-role-trans-orbital-spacecraft-powered-by-solar-thermal-propulsion","Seed","recTxOSbCrAMNf3gE","recMbOqA5doIruWpG","recNZ5g9arTUsp7FL","recy24esp6hquliDm","recOdOkbTVDWSVPFn","recFKjBWSQN9JiG73","recyvTS9Zz83GD4dD","","","","","","","","","recf27TX6ShjG9p9P","Seed","↗","https://www.portalsystems.space/portal-space-systems-raises-17-5m-in-oversubscribed-seed-round-to-build-multi-role-trans-orbital-spacecraft-powered-by-solar-thermal-propulsion","recVXgbGCCmryjUeM","reczCf603xnzrW5w1","reczCf603xnzrW5w1","recVXgbGCCmryjUeM",""
"recFdka70Kh4rX9tA","2025-03-13T19:20:48.000Z","Dirac – Undisclosed","2023-10-01","0","","Seed","recYfjBBxGdSwCQfL","recT1QUo7MVrE4zb4","recnNznuqXRZNX8gC","","","","","","","","","","","","","recbSfY4BuqBLcJLs","Undisclosed","↗","","recLSNFkL4Mx5vIAj","recu1BZw3cCaj0pqj","recu1BZw3cCaj0pqj","recLSNFkL4Mx5vIAj",""
"recFhgFNgq8xZv4WF","2025-03-11T00:38:27.000Z","Starfish Space – Strategic","2024-11-13","29000000","https://techcrunch.com/2024/11/13/starfish-space-raises-29m-to-launch-satellite-servicing-spacecraft/","Early Stage Venture","rec7qx2QUkJnLsgOI","recYvSoNgbossvLlR","reck2NDgtWAd3qMFw","recOshpc4PZ7udMm1","recd2I4tg1ZvVcB7c","recLaqsZre72qvPF3","recE2CYbdQHIdQMUL","recqUk3SiEb53nBF2","recgJsZ12uiAHLt5D","recM8zmUizznVwlVP","","","","","","reck2DzTSz4zvYMIj","Strategic","↗","https://techcrunch.com/2024/11/13/starfish-space-raises-29m-to-launch-satellite-servicing-spacecraft/","recVXgbGCCmryjUeM","reczCf603xnzrW5w1","reczCf603xnzrW5w1","recVXgbGCCmryjUeM",""
"recG788rlElEfv0W1","2025-03-14T19:11:55.000Z","Divergent Technologies – Series A","2017-01-25","23000000","https://www.businesswire.com/news/home/20170125005154/en/Divergent-3D-Closes-23M-Series-A-Funding-Round-Led-by-Horizons-Ventures","Early Stage Venture","rec6OeXua8wxAxwE2","receFUl8VQ0CttC0T","","","","","","","","","","","","","","rectYZq8whVton27d","Series A","↗","https://www.businesswire.com/news/home/20170125005154/en/Divergent-3D-Closes-23M-Series-A-Funding-Round-Led-by-Horizons-Ventures","recLSNFkL4Mx5vIAj","recu1BZw3cCaj0pqj","recu1BZw3cCaj0pqj","recLSNFkL4Mx5vIAj",""
"recGH9NqxcnhaUuqO","2025-03-05T21:25:29.000Z","Castelion – Series A","2025-01-29","70000000","https://www.businesswire.com/news/home/20250129937934/en/Castelion-Announces-100M-Financing","Early Stage Venture","reckzI5lsxnGTU2Fy","recWIjYHXZlanV3tC","recaQjNkLwptWDDV0","recy24esp6hquliDm","rechUyakvRdB6TuH0","recVAjT8uZvgVnIZX","recZmfr98DI6XMvbN","","","","","","","","","recAlyaRqTZXSXqXE","Series A","↗","https://www.businesswire.com/news/home/20250129937934/en/Castelion-Announces-100M-Financing","recnikZjj0rLnQKC5","recPEDmAtpBYSRyfG","recPEDmAtpBYSRyfG","recnikZjj0rLnQKC5",""
"recGR4zAOSRBuKBRR","2025-03-13T20:57:04.000Z","Reality Defender – Extension","2024-10-22","33000000","https://www.prnewswire.com/news-releases/reality-defender-expands-series-a-to-33-million-to-enhance-ai-detection-capabilities-302283098.html","Early Stage Venture","reciUJJXYxSG9Asid","reck2NDgtWAd3qMFw","reckPBaC7hNEb3BX5","rec7zfWfEjGhRyWbP","recj2NPDIovZtl4bh","recI2OZMYPxqbI66I","recQdCLeypE3fHJP0","recqP5gwq4v4SnrAy","","","","","","","","rece125ifwwZwqjkY","Extension","↗","https://www.prnewswire.com/news-releases/reality-defender-expands-series-a-to-33-million-to-enhance-ai-detection-capabilities-302283098.html","recuShUrIV9xrXGLE","recVn88k2eVvGtlan","recVn88k2eVvGtlan","recuShUrIV9xrXGLE",""
"recHESHjIpntSIzPz","2025-03-05T20:10:42.000Z","Destinus – Seed","2022-02-09","29000000","https://www.destinus.com/post/destinus-closes-usd29m-seed-round","Seed","recN2nRLHVeApULj0","recviT1uGEizt9lgz","recaREPRFBfRe9lym","recjWw7CqJaOr3CYY","rec9En4brORQhh6Ry","recnFIy0OesbrKQQL","","","","","","","","","","rec8vLONaVfbVm2m0","Seed","↗","https://www.destinus.com/post/destinus-closes-usd29m-seed-round","reck9rb9NUDRVYQm5","recxDRZMpAit2jx2p","recxDRZMpAit2jx2p","reck9rb9NUDRVYQm5",""
"recHJhY6SwBBcW6vb","2025-03-07T22:43:59.000Z","HawkEye 360 – Series C","2021-04-12","55000000","https://www.he360.com/hawkeye-360-secures-55-million-series-c-funding-round/","Late Stage Venture","recZyaUPRYlR0XBGa","rec7qx2QUkJnLsgOI","recKEPp9jBAqooEny","recfXeqPN4Rsv2Cf7","recMvHMonnoI7Tr7q","recOhytkPlzXD5c6g","","","","","","","","","","recdj7iXjiRgvJ2nI","Series C","↗","https://www.he360.com/hawkeye-360-secures-55-million-series-c-funding-round/","recVXgbGCCmryjUeM","recbNSQvv1IdUAXMq","recbNSQvv1IdUAXMq","recVXgbGCCmryjUeM",""
"recHuuAAcjQa4r4ZH","2025-03-06T18:58:59.000Z","Overland – Seed","2024-05-20","10000000","https://www.overland.ai/news/overland-ai-secures-10m-in-seed-funding-to-accelerate-development-of-autonomous-vehicle-software-for-high-risk-missions","Seed","recYvSoNgbossvLlR","rec7Vq91fgDJRqmSK","recvj3fdztneMlvfb","recZXkjZqmFM0EUmJ","rec8JpvloWF1Rccie","recqgTCGaKR9qtd56","","","","","","","","","","recCwahztU5LUdMaR","Seed","↗","https://www.overland.ai/news/overland-ai-secures-10m-in-seed-funding-to-accelerate-development-of-autonomous-vehicle-software-for-high-risk-missions","reck9rb9NUDRVYQm5","recftYsPa5uu4lfHY","recftYsPa5uu4lfHY","reck9rb9NUDRVYQm5",""
